,brand_name,shirt_name,price,percentageoff,flipkart_assured,deal
210,ENIGMA STYLE,Men Printed Round Neck Pure Cotton Black T-Shirt,₹478,76% off,,Hot Deal
211,BEING WANTED,Men Solid Round Neck Pure Cotton Light Green T-Shirt,₹228,81% off,,Hot Deal
212,SQF,Men Printed Round Neck Cotton Blend Black T-Shirt,₹246,75% off,,Hot Deal
213,TripBroz,Men Printed Round Neck Cotton Blend Red T-Shirt,₹198,86% off,,Hot Deal
214,HexaCraft,Men Printed Round Neck Cotton Blend Black T-Shirt,₹400,59% off,,Only few left
215,FuaarK,Men Solid High Neck Polyester Black T-Shirt,"₹1,149",54% off,,Only few left
216,Smosh,Men Printed Round Neck Cotton Blend Black T-Shirt,₹238,88% off,,Hot Deal
217,EyeBogler,"Men Colorblock High Neck Cotton Blend Navy Blue, Red T-...",₹256,80% off,,Hot Deal
218,BUKKL,Men Printed Round Neck Pure Cotton Green T-Shirt,₹305,84% off,,Only few left
219,Garmix,Men Solid Round Neck Cotton Blend Grey T-Shirt,₹179,91% off,,Only few left
220,UrGear,Men Typography Round Neck Cotton Blend Black T-Shirt,₹219,78% off,,
221,SRGI,Men Slim Fit Striped Casual Shirt,₹217,85% off,,Hot Deal
222,Smosh,Men Printed Round Neck Cotton Blend Navy Blue T-Shirt,₹225,88% off,,Hot Deal
223,Smile IN LIFE,Men Printed Round Neck Polycotton Green T-Shirt,₹174,86% off,,Hot Deal
224,RetroTees,Men Graphic Print Round Neck Cotton Blend Maroon T-Shir...,₹215,87% off,,Only 3 left
225,SEIZN,Men Printed Round Neck Cotton Blend Gold T-Shirt,₹213,78% off,,Hot Deal
226,Macknit,Men Printed Round Neck Cotton Blend Black T-Shirt,₹249,87% off,,Hot Deal
227,Smosh,Men Printed Round Neck Cotton Blend Black T-Shirt,₹230,88% off,,Hot Deal
228,Jump Cuts,Men Typography Polo Neck Cotton Blend Maroon T-Shirt,₹367,81% off,,Hot Deal
229,R Y Traders,Men Printed Round Neck Cotton Blend Black T-Shirt,₹416,58% off,,Only few left
